Classifier,FeatureSelection,Balancing,CostSensitive,Index,IFA,Precision_0.5,Recall,F1,MAP,AUC,G_Measure,MCC,PofB10,PofB15,PofB20,PofB25,PofB30,PofB35,PofB40,PofB45,PofB50,PofB55,PofB60,PofB65,PofB70,PofB75,PofB80,PofB85,PofB90,PofB95,PofB100,Average_Pofb,Npofb10,Npofb15,Npofb20,Npofb25,Npofb30,Npofb35,Npofb40,Npofb45,Npofb50,Npofb55,Npofb60,Npofb65,Npofb70,Npofb75,Npofb80,Npofb85,Npofb90,Npofb95,Npofb100,avgNPofB,Popt10,Popt15,Popt20,Popt25,Popt30,Popt35,Popt40,Popt45,Popt50,Popt55,Popt60,Popt65,Popt70,Popt75,Popt80,Popt85,Popt90,Popt95,Popt100,avgNpopt,
NaiveBayes,None,None,SensitiveLearning,15,0,0.47058823529411764,0.3333333333333333,0.3902439024390244,0.4410051890419017,0.9171374764595104,0.49339207048458145,0.3291968112729166,0.125,0.20833333333333334,0.2916666666666667,0.2916666666666667,0.3333333333333333,0.3333333333333333,0.375,0.5416666666666666,0.5833333333333334,0.6666666666666666,0.7083333333333334,0.7916666666666666,0.8333333333333334,0.8333333333333334,0.875,1.0,1.0,1.0,1.0,0.4775006570133775,0.125,0.20833333333333334,0.2916666666666667,0.2916666666666667,0.3333333333333333,0.3333333333333333,0.375,0.5416666666666666,0.5833333333333334,0.6666666666666666,0.7083333333333334,0.7916666666666666,0.8333333333333334,0.8333333333333334,0.875,1.0,1.0,1.0,1.0,0.6196044779467851,0.17647058823529416,0.25,0.30434782608695643,0.29166666666666674,0.33333333333333326,0.33333333333333326,0.375,0.5416666666666666,0.5833333333333334,0.6666666666666666,0.7083333333333334,0.7916666666666666,0.8333333333333334,0.8333333333333334,0.75,1.0,1.0,1.0,1,0.6206140350877193,
NaiveBayes,None,None,SensitiveLearning,16,0,0.4090909090909091,0.45,0.42857142857142855,0.44578621578067756,0.922375690607735,0.6061334936861095,0.36258623014225005,0.4,0.45,0.45,0.65,0.7,0.75,0.75,0.8,0.9,0.95,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6930747922437673,0.4,0.45,0.45,0.65,0.7,0.75,0.75,0.8,0.9,0.95,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8300554016620498,0.42105263157894746,0.44999999999999996,0.44999999999999996,0.65,0.7,0.75,0.75,0.8,0.9,0.95,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.8289473684210527,
NaiveBayes,None,None,SensitiveLearning,17,0,0.5,0.32142857142857145,0.391304347826087,0.5198783655455328,0.9234400656814452,0.4801163918525703,0.32711206400898524,0.07142857142857142,0.17857142857142858,0.2857142857142857,0.35714285714285715,0.35714285714285715,0.39285714285714285,0.5357142857142857,0.5357142857142857,0.6071428571428571,0.6071428571428571,0.6428571428571429,0.7142857142857143,0.7142857142857143,0.8214285714285714,0.8214285714285714,0.9285714285714286,1.0,1.0,1.0,0.41221174024498125,0.07142857142857142,0.17857142857142858,0.2857142857142857,0.35714285714285715,0.35714285714285715,0.39285714285714285,0.5357142857142857,0.5357142857142857,0.6071428571428571,0.6071428571428571,0.6428571428571429,0.7142857142857143,0.7142857142857143,0.8214285714285714,0.8214285714285714,0.9285714285714286,1.0,1.0,1.0,0.574845889721236,0.10526315789473684,0.2272727272727273,0.31999999999999995,0.3846153846153847,0.3571428571428572,0.3928571428571428,0.5357142857142857,0.5357142857142857,0.6071428571428571,0.6071428571428571,0.6428571428571429,0.7142857142857143,0.7142857142857143,0.6666666666666665,0.4444444444444443,0.6666666666666669,1.0,1.0,1,0.6090225563909775,
NaiveBayes,None,None,SensitiveLearning,2,0,0.42857142857142855,0.4,0.41379310344827586,0.466924741924742,0.7222222222222224,0.5473684210526316,0.27375436433166195,0.3333333333333333,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.6,0.6666666666666666,0.7333333333333333,0.8,0.8666666666666667,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6524580682475419,0.3333333333333333,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.6,0.6666666666666666,0.7333333333333333,0.8,0.8666666666666667,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7676113360323886,0.38461538461538447,0.5,0.5,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.6,0.6666666666666666,0.7333333333333333,0.8,0.8666666666666667,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1,0.7614035087719299,
NaiveBayes,None,None,SensitiveLearning,3,3,0.0625,1.0,0.11764705882352941,0.05353510126237399,0.9705882352941171,0.8275862068965517,0.21004201260420147,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8157894736842105,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8157894736842105,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.8157894736842105,
NaiveBayes,None,None,SensitiveLearning,4,2,0.15384615384615385,0.6666666666666666,0.25,0.13927750057429203,0.9509803921568624,0.7631027253668763,0.2826635489071399,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7894736842105263,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8421052631578947,0.33333333333333326,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.8421052631578947,
NaiveBayes,None,None,SensitiveLearning,5,1,0.3333333333333333,0.21428571428571427,0.2608695652173913,0.2907501589319771,0.9026687598116171,0.34859876965140124,0.18014417303072305,0.21428571428571427,0.21428571428571427,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.6428571428571429,0.7142857142857143,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9285714285714286,1.0,1.0,1.0,0.5825332562174668,0.21428571428571427,0.21428571428571427,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.6428571428571429,0.7142857142857143,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9285714285714286,1.0,1.0,1.0,0.631109825846668,0.30000000000000004,0.23076923076923073,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.3571428571428572,0.3571428571428572,0.4285714285714286,0.6428571428571429,0.7142857142857143,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.888888888888889,1.0,1.0,1,0.6278195488721805,
NaiveBayes,None,None,SensitiveLearning,6,0,0.5384615384615384,0.4117647058823529,0.4666666666666667,0.5690103916853511,0.8919567827130852,0.5724444444444444,0.39291950345449955,0.23529411764705882,0.29411764705882354,0.35294117647058826,0.35294117647058826,0.5294117647058824,0.6470588235294118,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.8235294117647058,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,0.7240922261433097,0.23529411764705882,0.29411764705882354,0.35294117647058826,0.35294117647058826,0.5294117647058824,0.6470588235294118,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.8235294117647058,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,0.7491269566346966,0.4,0.3846153846153847,0.40000000000000013,0.3750000000000001,0.5294117647058824,0.6470588235294118,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.8235294117647058,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9090909090909091,1.0,1.0,1.0,1.0,1,0.7337461300309598,
NaiveBayes,None,None,SensitiveLearning,7,3,0.12903225806451613,1.0,0.22857142857142856,0.13364134358788948,0.980519480519481,0.9039145907473309,0.32620502649858896,0.5,0.5,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9605263157894737,0.5,0.5,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9078947368421053,0.5,0.5,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.9078947368421053,
NaiveBayes,None,None,SensitiveLearning,8,5,0.15,0.375,0.21428571428571427,0.12755038525370022,0.863782051282051,0.5278481012658228,0.17511951555821736,0.375,0.375,0.5,0.625,0.625,0.75,0.75,0.75,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8421052631578947,0.375,0.375,0.5,0.625,0.625,0.75,0.75,0.75,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8157894736842105,0.375,0.375,0.5,0.625,0.625,0.75,0.75,0.75,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.8157894736842105,
