Ticket Key,Injected Version,Opening Version,Fixed Version,Affected Version List,Number of Commits,Creation Date,Resolution Date
AVRO-2066,1.8.1,1.9.0,1.9.0,{1.8.1},1,2017-08-14,2017-09-01
AVRO-2065,1.8.2,1.9.0,1.9.0,{1.8.2},1,2017-08-14,2018-12-11
AVRO-2072,1.7.7,1.9.0,1.9.0,{1.7.7 / 1.8.1},1,2017-08-30,2017-09-12
AVRO-2080,1.8.2,1.9.0,1.9.0,{1.8.2},1,2017-09-20,2017-12-13
AVRO-2081,1.8.2,1.9.0,1.9.0,{1.8.2},1,2017-09-25,2018-04-01
AVRO-2096,1.8.0,1.9.0,1.10.1,{1.8.0},1,2017-10-16,2020-09-25
AVRO-2118,1.8.1,1.9.0,1.9.0,{1.8.1},5,2017-12-13,2017-12-22
AVRO-2120,1.8.2,1.9.0,1.9.0,{1.8.2},1,2017-12-18,2018-01-02
AVRO-2122,1.8.2,1.9.0,1.9.0,{1.8.2},1,2018-01-03,2018-01-23
AVRO-2131,1.8.1,1.9.0,1.9.0,{1.8.1},1,2018-01-17,2018-11-29
AVRO-2144,1.8.2,1.9.0,1.9.0,{1.8.2},1,2018-02-13,2019-03-28
AVRO-2157,1.8.1,1.9.0,1.9.0,{1.8.1 / 1.8.2},1,2018-03-09,2018-03-14
AVRO-2174,1.8.2,1.9.0,1.10.0,{1.8.2},1,2018-05-04,2020-02-23
AVRO-2181,1.8.2,1.9.0,1.9.0,{1.8.2},1,2018-05-28,2018-11-27
AVRO-2183,1.8.1,1.9.0,1.9.0,{1.8.1},1,2018-05-30,2018-11-10
AVRO-2184,1.8.1,1.9.0,1.9.0,{1.8.1},1,2018-06-01,2018-12-11
AVRO-2186,1.8.2,1.9.0,1.9.0,{1.8.2},1,2018-06-05,2018-10-05
AVRO-2189,1.8.1,1.9.0,1.9.0,{1.8.1},1,2018-06-13,2018-06-15
AVRO-2202,1.8.2,1.9.0,1.9.0,{1.8.2},1,2018-07-26,2019-04-05
AVRO-2207,1.8.2,1.9.0,1.9.0,{1.8.2},1,2018-08-06,2018-11-01
AVRO-2220,1.8.1,1.9.0,1.9.0,{1.8.1},1,2018-09-11,2018-10-02
AVRO-2222,1.8.0,1.9.0,1.9.0,{1.8.0 / 1.8.1 / 1.8.2 / 1.10.0},2,2018-09-12,2018-10-02
AVRO-2226,1.8.2,1.9.0,1.9.2,{1.8.2},1,2018-09-14,2019-11-03
AVRO-2236,1.8.2,1.9.0,1.11.3,{1.8.2},3,2018-10-04,2023-08-01
AVRO-2240,1.8.2,1.9.0,1.9.0,{1.8.2},1,2018-10-08,2018-11-07
AVRO-2244,1.8.1,1.9.0,1.9.0,{1.8.1},1,2018-10-17,2018-11-20
AVRO-2278,1.8.2,1.9.0,1.10.0,{1.8.2 / 1.9.2},1,2018-11-27,2020-05-22
AVRO-2284,1.8.2,1.9.0,1.11.3,{1.8.2},1,2018-12-13,2023-07-24
AVRO-2286,1.8.2,1.9.0,1.9.0,{1.8.2},2,2018-12-19,2018-12-20
AVRO-2298,1.8.2,1.9.0,1.9.1,{1.8.2},1,2019-01-07,2019-06-25
AVRO-2302,1.8.2,1.9.0,1.9.0,{1.8.2},1,2019-01-18,2019-02-07
AVRO-2306,1.8.2,1.9.0,1.9.0,{1.8.2},1,2019-01-23,2019-01-23
AVRO-2382,1.8.2,1.9.0,1.10.1,{1.8.2 / 1.9.1 / 1.10.0},1,2019-04-27,2020-07-09
AVRO-2394,1.8.2,1.9.0,1.9.1,{1.8.2},1,2019-05-11,2019-05-17
AVRO-2400,1.8.2,1.9.1,1.9.1,{1.8.2},1,2019-05-17,2019-06-14
AVRO-2408,1.8.2,1.9.1,1.9.1,{1.8.2},1,2019-05-27,2019-05-28
AVRO-2415,1.9.0,1.9.1,1.9.1,{1.9.0},1,2019-06-06,2019-06-17
AVRO-2432,1.9.0,1.9.1,1.9.2,{1.9.0},1,2019-06-19,2019-10-28
AVRO-2431,1.9.0,1.9.1,1.9.2,{1.9.0},1,2019-06-19,2019-10-28
AVRO-2429,1.9.0,1.9.1,1.9.2,{1.9.0},1,2019-06-19,2019-11-06
AVRO-2433,1.8.2,1.9.1,1.9.1,{1.8.2},1,2019-06-20,2019-06-22
AVRO-2438,1.8.2,1.9.1,1.10.0,{1.8.2 / 1.9.0},1,2019-06-21,2020-05-26
AVRO-2443,1.8.2,1.9.1,1.9.1,{1.8.2},1,2019-06-22,2019-06-24
AVRO-2442,1.9.0,1.9.1,1.9.1,{1.9.0},1,2019-06-22,2019-06-28
AVRO-2444,1.8.2,1.9.1,1.9.1,{1.8.2},1,2019-06-23,2019-06-24
AVRO-2448,1.8.2,1.9.1,1.9.1,{1.8.2},1,2019-06-25,2019-06-26
AVRO-2450,1.9.0,1.9.1,1.9.1,{1.9.0},1,2019-06-25,2019-07-01
AVRO-2465,1.8.2,1.9.1,1.9.1,{1.8.2},1,2019-07-05,2019-08-19
AVRO-2466,1.8.2,1.9.1,1.9.1,{1.8.2},1,2019-07-06,2019-07-23
AVRO-2468,1.8.2,1.9.1,1.9.1,{1.8.2},1,2019-07-07,2019-08-20
AVRO-2471,1.9.0,1.9.1,1.10.2,{1.9.0},2,2019-07-12,2021-03-04
AVRO-2483,1.8.2,1.9.1,1.9.1,{1.8.2},1,2019-07-25,2019-07-25
AVRO-2486,1.8.0,1.9.1,1.10.0,{1.8.0 / 1.8.1 / 1.8.2 / 1.9.0},1,2019-07-26,2020-05-21
AVRO-2489,1.9.0,1.9.1,1.9.1,{1.9.0},1,2019-07-30,2019-07-30
AVRO-2491,1.9.0,1.9.1,1.9.1,{1.9.0},1,2019-07-30,2019-08-20
