@relation BOOKKEEPER_Generico

@attribute Size numeric
@attribute 'Number Of Revisions(numNR)' numeric
@attribute 'Number Of DefectFixes(NumFix)' numeric
@attribute 'Number Of Comment Lines In Class' numeric
@attribute totalInvokedClasses numeric
@attribute 'Number Of Methods' numeric
@attribute 'Number Of Java Imports' numeric
@attribute ' Number Of Api Imports' numeric
@attribute 'Number Of Package Imports' numeric
@attribute 'Number Of Authors (numAuth)' numeric
@attribute 'CHURN value' numeric
@attribute 'CHURN MAX' numeric
@attribute 'CHURN Averange' numeric
@attribute 'LOC touched value' numeric
@attribute 'LOC added MAX' numeric
@attribute 'LOC added Averange' numeric
@attribute 'LOC deleted MAX' numeric
@attribute 'LOC deleted Averange' numeric
@attribute 'Is Buggy ' {YES,NO}

@data
133,3,0,5,5,4,0,9,0,2,133,133,44.333333,145,133,46.333333,5,46.333333,NO
137,4,0,3,4,3,3,15,0,2,137,136,34.25,163,136,37.5,10,37.5,NO
177,3,0,4,7,9,4,8,0,2,177,176,59,185,176,60.333333,2,60.333333,NO
46,2,0,1,1,0,0,0,0,2,46,46,23,48,46,23.5,1,23.5,NO
128,5,0,8,9,1,2,12,0,3,128,127,25.6,146,127,27.4,5,27.4,NO
149,3,0,45,2,13,1,6,0,2,149,148,49.666667,155,148,50.666667,2,50.666667,NO
58,2,0,5,1,1,0,2,0,2,58,58,29,60,58,29.5,1,29.5,NO
149,2,0,33,1,2,1,6,0,2,149,149,74.5,155,149,76,3,76,NO
74,2,0,1,2,5,0,2,0,2,74,74,37,82,74,39,4,39,NO
37,1,0,1,0,0,0,0,0,1,37,37,37,37,37,37,0,37,NO
38,2,0,1,0,0,0,0,0,2,38,38,19,42,38,20,2,20,NO
39,2,0,1,0,0,0,0,0,2,39,39,19.5,41,39,20,1,20,NO
96,4,0,12,2,3,1,9,0,2,96,95,24,118,95,26.75,5,26.75,NO
88,3,0,15,0,4,0,5,0,2,88,87,29.333333,94,87,30.333333,2,30.333333,NO
71,4,0,10,1,1,0,8,0,2,71,70,17.75,85,70,19.5,3,19.5,NO
114,4,0,18,1,4,1,11,0,2,114,113,28.5,132,113,30.75,4,30.75,NO
336,6,0,98,4,6,5,20,0,3,336,329,56,492,329,69,35,69,NO
84,4,0,14,2,1,0,9,0,2,84,83,21,102,83,23.25,5,23.25,NO
58,3,0,4,6,1,0,9,0,2,58,58,19.333333,68,58,21,3,21,NO
123,4,0,33,1,1,2,12,0,2,123,122,30.75,137,122,32.5,4,32.5,NO
369,1,0,78,13,15,9,23,0,1,369,369,369,369,369,369,0,369,NO
231,5,0,60,4,4,3,21,0,2,231,224,46.2,255,224,48.6,6,48.6,NO
586,4,0,128,8,28,4,32,0,2,586,585,146.5,704,585,161.25,48,161.25,NO
366,5,0,101,9,9,4,29,0,2,366,365,73.2,414,365,78,14,78,NO
99,4,0,22,1,1,2,11,0,2,99,98,24.75,117,98,27,4,27,NO
41,1,0,2,1,1,0,2,0,1,41,41,41,41,41,41,0,41,NO
66,2,0,4,1,4,2,6,0,2,66,65,33,92,65,39.5,13,39.5,NO
54,3,0,1,2,2,1,5,0,3,54,45,18,56,45,18.333333,1,18.333333,NO
47,2,0,1,0,0,0,1,0,2,47,47,23.5,55,47,25.5,4,25.5,NO
183,4,0,1,2,9,2,6,0,3,187,185,46.75,223,185,50.75,16,50.75,NO
49,1,0,1,1,0,2,2,0,1,49,49,49,49,49,49,0,49,NO
50,1,0,1,0,2,0,0,0,1,50,50,50,50,50,50,0,50,NO
98,2,0,1,2,2,4,6,0,2,98,97,49,102,97,50,2,50,NO
138,1,0,23,2,8,1,1,0,1,138,138,138,138,138,138,0,138,NO
43,1,0,1,0,1,0,0,0,1,43,43,43,43,43,43,0,43,NO
42,1,0,1,0,2,0,0,0,1,42,42,42,42,42,42,0,42,NO
56,1,0,5,1,0,3,3,0,1,56,56,56,56,56,56,0,56,NO
162,2,0,5,10,2,1,2,0,2,162,162,81,164,162,81.5,1,81.5,NO
