Class Name,Release ID, Size, Number Of Revisions(numNR),Number Of DefectFixes(NumFix),Number Of Comment Lines In Class,totalInvokedClasses,Number Of Methods,Number Of Java Imports, Number Of Api Imports,Number Of Package Imports,Number Of Authors (numAuth),CHURN value, CHURN MAX, CHURN Averange,LOC touched value,LOC added MAX,LOC added Averange,LOC deleted MAX,LOC deleted Averange,Is Buggy 
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,1,85,2,0,1,0,10,1,0,0,2,85,85,42.5,87,85,43.0,1,43.0,NO
bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,1,105,2,0,3,1,6,1,5,1,1,105,61,52.5,107,61,53.0,1,53.0,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,1,216,4,0,6,1,12,0,0,1,2,216,216,54.0,232,216,56.0,6,56.0,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,1,377,4,0,11,1,28,1,1,0,2,377,377,94.25,417,377,99.25,11,99.25,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,1,253,2,0,12,7,10,3,6,5,1,253,251,126.5,257,251,127.5,2,127.5,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,1,193,1,0,5,3,10,4,8,5,1,193,193,193.0,193,193,193.0,0,193.0,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,1,514,1,0,25,9,27,8,9,5,1,514,514,514.0,514,514,514.0,0,514.0,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,1,204,1,0,8,5,8,1,8,2,1,204,204,204.0,204,204,204.0,0,204.0,NO
bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,1,144,1,0,1,0,10,1,1,2,1,144,144,144.0,144,144,144.0,0,144.0,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,1,98,1,0,6,4,1,1,2,1,1,98,98,98.0,98,98,98.0,0,98.0,NO
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,1,181,7,0,2,9,12,5,6,6,3,189,178,27.0,225,178,29.0,9,29.0,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,1,154,4,0,1,1,5,0,0,0,3,154,75,38.5,170,75,40.5,5,40.5,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,1,393,11,0,9,13,16,7,9,5,3,399,209,36.27272727272727,585,209,44.45454545454545,48,44.45454545454545,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,1,132,3,0,5,0,6,3,4,0,3,132,75,44.0,146,75,46.333333333333336,7,46.333333333333336,NO
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,1,533,8,0,22,4,25,15,2,1,3,535,521,66.875,579,521,69.5,8,69.5,NO
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,1,603,9,0,55,9,23,7,22,8,3,607,573,67.44444444444444,763,573,75.88888888888889,24,75.88888888888889,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,1,148,1,0,3,2,22,0,0,0,1,148,148,148.0,148,148,148.0,0,148.0,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,1,174,3,0,16,1,5,4,2,3,2,174,173,58.0,194,173,61.333333333333336,8,61.333333333333336,NO
bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,1,148,3,0,9,0,6,3,2,2,2,148,147,49.333333333333336,168,147,52.666666666666664,8,52.666666666666664,NO
bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,1,92,6,0,6,2,1,2,3,2,3,1442,763,240.33333333333334,1576,763,139.0,688,139.0,NO
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,1,234,6,0,18,12,7,8,16,2,3,234,209,39.0,642,209,73.0,101,73.0,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,1,54,3,0,1,0,2,1,0,2,3,54,54,18.0,64,54,19.666666666666668,4,19.666666666666668,NO
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,1,38,2,0,1,0,1,0,0,0,2,38,38,19.0,48,38,21.5,5,21.5,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,1,98,2,0,3,0,5,4,0,0,2,98,98,49.0,106,98,51.0,4,51.0,NO
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,1,39,3,0,1,0,2,0,2,0,2,39,38,13.0,59,38,16.333333333333332,7,16.333333333333332,NO
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,1,69,3,0,1,2,3,2,0,0,3,119,94,39.666666666666664,127,94,32.666666666666664,25,32.666666666666664,NO
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,1,94,1,0,6,2,3,2,6,0,1,94,94,94.0,94,94,94.0,0,94.0,YES
hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,1,72,1,0,1,0,3,0,6,0,1,72,72,72.0,72,72,72.0,0,72.0,NO
hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,1,42,1,0,1,0,3,0,0,0,1,42,42,42.0,42,42,42.0,0,42.0,NO
hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,1,48,3,0,1,0,1,0,3,0,2,48,48,16.0,64,48,18.666666666666668,5,18.666666666666668,NO
hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,1,63,2,0,1,0,2,0,5,0,2,63,63,31.5,71,63,33.5,4,33.5,NO
hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,1,237,2,0,1,0,11,1,9,0,2,237,237,118.5,277,237,128.5,20,128.5,NO
hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,1,133,3,0,5,5,4,0,9,0,2,133,133,44.333333333333336,145,133,46.333333333333336,5,46.333333333333336,YES
