@relation AVRO_Training_Set_17

@attribute Size numeric
@attribute 'Number Of Revisions(numNR)' numeric
@attribute 'Number Of DefectFixes(NumFix)' numeric
@attribute 'Number Of Comment Lines In Class' numeric
@attribute totalInvokedClasses numeric
@attribute 'Number Of Methods' numeric
@attribute 'Number Of Java Imports' numeric
@attribute ' Number Of Api Imports' numeric
@attribute 'Number Of Package Imports' numeric
@attribute 'Number Of Authors (numAuth)' numeric
@attribute 'CHURN value' numeric
@attribute 'CHURN MAX' numeric
@attribute 'CHURN Averange' numeric
@attribute 'LOC touched value' numeric
@attribute 'LOC added MAX' numeric
@attribute 'LOC added Averange' numeric
@attribute 'LOC deleted MAX' numeric
@attribute 'LOC deleted Averange' numeric
@attribute 'Is Buggy ' {YES,NO}

@data
26,1,0,3,0,0,0,0,1,1,27,27,27,27,27,27,0,27,NO
428,3,0,18,6,33,6,6,7,1,150,145,50,178,155,54.666667,10,54.666667,YES
462,4,1,13,4,26,6,7,8,1,1,1,0.25,21,5,2.75,5,2.75,YES
191,3,1,3,1,14,5,5,6,1,75,68,25,101,11,6.666667,79,6.666667,YES
24,1,0,3,0,0,0,0,0,1,0,0,0,2,1,1,1,1,NO
24,2,0,2,0,0,1,1,0,1,6,5,3,10,2,1.5,6,1.5,NO
57,1,0,2,1,3,1,3,7,1,1,1,1,1,1,1,0,1,NO
54,1,0,5,0,3,1,1,6,1,1,1,1,1,1,1,0,1,NO
192,3,0,9,4,4,3,3,4,1,192,190,64,370,190,93.666667,88,93.666667,NO
300,2,0,3,5,27,4,4,3,1,1,1,0.5,5,2,1.5,1,1.5,NO
250,1,0,3,2,22,3,3,2,1,1,1,1,5,3,3,2,3,NO
627,2,1,30,5,29,5,5,3,1,6,5,3,10,5,4,2,4,NO
37,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,NO
35,1,0,2,0,0,1,1,1,1,1,1,1,1,1,1,0,1,NO
279,3,0,4,1,1,3,3,1,1,7,7,2.333333,17,3,1.666667,10,1.666667,NO
274,1,0,2,1,3,3,3,1,1,0,0,0,2,1,1,1,1,NO
398,3,0,2,4,29,3,6,6,1,401,397,133.666667,433,397,138.666667,9,138.666667,NO
240,3,0,2,6,21,4,7,6,1,243,239,81,255,239,82.666667,4,82.666667,YES
74,2,0,1,1,2,1,1,4,1,75,74,37.5,75,74,37.5,0,37.5,NO
69,3,0,2,1,2,2,2,1,1,70,52,23.333333,70,52,23.333333,0,23.333333,NO
203,2,0,2,4,8,2,2,4,1,21,20,10.5,163,71,36,91,36,NO
