DATASET,INDEX TRAINING_RELEASES,TRAINING_INSTANCES(%),CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,F1,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
BOOKKEEPER,2,56.44257703081232,IBk,BestFirst(Bi-directional),None,None,0.3763440860215054,0.603448275862069,0.46357615894039733,0.6922107128254055,0.30359660520277576,35.0,58.0,195.0,23.0
BOOKKEEPER,2,56.44257703081232,RandomForest,None,OverSampling,None,0.35384615384615387,0.7931034482758621,0.48936170212765956,0.8130707373585935,0.31188347008389405,46.0,84.0,169.0,12.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,None,OverSampling,None,0.47297297297297297,0.603448275862069,0.5303030303030303,0.8071418836036527,0.40612295182949354,35.0,39.0,214.0,23.0
BOOKKEEPER,2,56.44257703081232,IBk,None,OverSampling,None,0.3482142857142857,0.6724137931034483,0.4588235294117647,0.706283222025351,0.2825116605647224,39.0,73.0,180.0,19.0
BOOKKEEPER,2,56.44257703081232,RandomForest,None,UnderSampling,None,0.33548387096774196,0.896551724137931,0.4882629107981221,0.8235314161101267,0.29761929428340544,52.0,103.0,150.0,6.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,None,UnderSampling,None,0.4626865671641791,0.5344827586206896,0.49599999999999994,0.808504838489846,0.37006076584252334,31.0,36.0,217.0,27.0
BOOKKEEPER,2,56.44257703081232,IBk,None,UnderSampling,None,0.3028169014084507,0.7413793103448276,0.43,0.6863840806869292,0.22467634709587125,43.0,99.0,154.0,15.0
BOOKKEEPER,2,56.44257703081232,RandomForest,None,SMOTE,None,0.3515625,0.7758620689655172,0.48387096774193544,0.8183521875425923,0.3056421228894367,45.0,83.0,170.0,13.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,None,SMOTE,None,0.3492063492063492,0.7586206896551724,0.47826086956521746,0.8091181681886329,0.2992865189635749,44.0,82.0,171.0,14.0
BOOKKEEPER,2,56.44257703081232,IBk,None,SMOTE,None,0.3217391304347826,0.6379310344827587,0.4277456647398844,0.6667916041979011,0.23908261868867847,37.0,78.0,175.0,21.0
BOOKKEEPER,2,56.44257703081232,RandomForest,None,None,SensitiveLearning,0.2731707317073171,0.9655172413793104,0.4258555133079849,0.8296987869701513,0.19050902383948418,56.0,149.0,104.0,2.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,None,None,SensitiveLearning,0.40816326530612246,0.6896551724137931,0.5128205128205129,0.8173640452501022,0.36373425218046723,40.0,58.0,195.0,18.0
BOOKKEEPER,2,56.44257703081232,IBk,None,None,SensitiveLearning,0.3300970873786408,0.5862068965517241,0.422360248447205,0.658716096497206,0.24132413503659197,34.0,69.0,184.0,24.0
BOOKKEEPER,2,56.44257703081232,RandomForest,BestFirst(Bi-directional),OverSampling,None,0.359375,0.7931034482758621,0.4946236559139785,0.8228499386670302,0.3201079119959069,46.0,82.0,171.0,12.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,BestFirst(Bi-directional),OverSampling,None,0.422680412371134,0.7068965517241379,0.529032258064516,0.814161101267548,0.3856249830866236,41.0,56.0,197.0,17.0
BOOKKEEPER,2,56.44257703081232,IBk,BestFirst(Bi-directional),OverSampling,None,0.3619047619047619,0.6551724137931034,0.46625766871165636,0.658716096497206,0.2974580011944019,38.0,67.0,186.0,20.0
BOOKKEEPER,2,56.44257703081232,RandomForest,BestFirst(Bi-directional),UnderSampling,None,0.3469387755102041,0.8793103448275862,0.4975609756097561,0.8468038707918768,0.3141125837740616,51.0,96.0,157.0,7.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,BestFirst(Bi-directional),UnderSampling,None,0.42696629213483145,0.6551724137931034,0.5170068027210885,0.811946299577484,0.3761195716667136,38.0,51.0,202.0,20.0
BOOKKEEPER,2,56.44257703081232,IBk,BestFirst(Bi-directional),UnderSampling,None,0.3418803418803419,0.6896551724137931,0.45714285714285713,0.6952432874471854,0.27679729762808136,40.0,77.0,176.0,18.0
BOOKKEEPER,2,56.44257703081232,RandomForest,BestFirst(Bi-directional),SMOTE,None,0.36885245901639346,0.7758620689655172,0.5,0.8261891781382036,0.3308310222817251,45.0,77.0,176.0,13.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,BestFirst(Bi-directional),SMOTE,None,0.3805309734513274,0.7413793103448276,0.5029239766081871,0.8153536867929672,0.3403288997579416,43.0,70.0,183.0,15.0
BOOKKEEPER,2,56.44257703081232,IBk,BestFirst(Bi-directional),SMOTE,None,0.3761467889908257,0.7068965517241379,0.4910179640718563,0.7233542319749217,0.32723385844806957,41.0,68.0,185.0,17.0
BOOKKEEPER,2,56.44257703081232,RandomForest,BestFirst(Bi-directional),None,SensitiveLearning,0.2857142857142857,0.9655172413793104,0.4409448818897638,0.8385920676025623,0.21500942088236338,56.0,140.0,113.0,2.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,BestFirst(Bi-directional),None,SensitiveLearning,0.422680412371134,0.7068965517241379,0.529032258064516,0.8145018399890963,0.3856249830866236,41.0,56.0,197.0,17.0
BOOKKEEPER,2,56.44257703081232,IBk,BestFirst(Bi-directional),None,SensitiveLearning,0.3763440860215054,0.603448275862069,0.46357615894039733,0.6922107128254055,0.30359660520277576,35.0,58.0,195.0,23.0
BOOKKEEPER,3,66.66666666666667,RandomForest,None,None,None,0.3918918918918919,0.6444444444444445,0.4873949579831932,0.8351139601139601,0.3920944644502136,29.0,45.0,267.0,16.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,None,None,None,0.5471698113207547,0.6444444444444445,0.5918367346938775,0.9091524216524216,0.5274027005559967,29.0,24.0,288.0,16.0
BOOKKEEPER,3,66.66666666666667,IBk,None,None,None,0.2831858407079646,0.7111111111111111,0.4050632911392405,0.7279202279202279,0.2742019205813654,32.0,81.0,231.0,13.0
BOOKKEEPER,3,66.66666666666667,RandomForest,BestFirst(Bi-directional),None,None,0.36363636363636365,0.6222222222222222,0.45901639344262296,0.8358974358974359,0.35665137614678905,28.0,49.0,263.0,17.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,BestFirst(Bi-directional),None,None,0.5081967213114754,0.6888888888888889,0.5849056603773585,0.9151709401709401,0.5144658753709198,31.0,30.0,282.0,14.0
BOOKKEEPER,3,66.66666666666667,IBk,BestFirst(Bi-directional),None,None,0.26804123711340205,0.5777777777777777,0.36619718309859156,0.6982905982905983,0.23434372319130686,26.0,71.0,241.0,19.0
BOOKKEEPER,3,66.66666666666667,RandomForest,None,OverSampling,None,0.2916666666666667,0.7777777777777778,0.42424242424242425,0.8316951566951567,0.2949797318366072,35.0,85.0,227.0,10.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,None,OverSampling,None,0.4235294117647059,0.8,0.5538461538461539,0.9016737891737892,0.4657894736842106,36.0,49.0,263.0,9.0
BOOKKEEPER,3,66.66666666666667,IBk,None,OverSampling,None,0.2740740740740741,0.8222222222222222,0.4111111111111111,0.7633190883190883,0.27380541162924577,37.0,98.0,214.0,8.0
BOOKKEEPER,3,66.66666666666667,RandomForest,None,UnderSampling,None,0.25,0.8666666666666667,0.3880597014925373,0.8378561253561253,0.23920162170590983,39.0,117.0,195.0,6.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,None,UnderSampling,None,0.463768115942029,0.7111111111111111,0.5614035087719299,0.9079772079772079,0.4824286708420321,32.0,37.0,275.0,13.0
BOOKKEEPER,3,66.66666666666667,IBk,None,UnderSampling,None,0.2235294117647059,0.8444444444444444,0.3534883720930233,0.7175569800569801,0.1925311203319503,38.0,132.0,180.0,7.0
BOOKKEEPER,3,66.66666666666667,RandomForest,None,SMOTE,None,0.35714285714285715,0.7777777777777778,0.48951048951048953,0.857514245014245,0.3828940825459968,35.0,63.0,249.0,10.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,None,SMOTE,None,0.4473684210526316,0.7555555555555555,0.5619834710743802,0.9107905982905983,0.4795775228979287,34.0,42.0,270.0,11.0
BOOKKEEPER,3,66.66666666666667,IBk,None,SMOTE,None,0.25925925925925924,0.7777777777777778,0.3888888888888889,0.7220441595441596,0.2464018422567646,35.0,100.0,212.0,10.0
BOOKKEEPER,3,66.66666666666667,RandomForest,None,None,SensitiveLearning,0.24096385542168675,0.8888888888888888,0.37914691943127965,0.8271367521367521,0.22554523324556597,40.0,126.0,186.0,5.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,None,None,SensitiveLearning,0.44594594594594594,0.7333333333333333,0.5546218487394958,0.9091524216524216,0.47181978058789026,33.0,41.0,271.0,12.0
BOOKKEEPER,3,66.66666666666667,IBk,None,None,SensitiveLearning,0.2807017543859649,0.7111111111111111,0.4025157232704402,0.7279202279202279,0.2706922134055866,32.0,82.0,230.0,13.0
BOOKKEEPER,3,66.66666666666667,RandomForest,BestFirst(Bi-directional),OverSampling,None,0.32407407407407407,0.7777777777777778,0.45751633986928103,0.8467948717948718,0.34008151266118797,35.0,73.0,239.0,10.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,BestFirst(Bi-directional),OverSampling,None,0.46153846153846156,0.6666666666666666,0.5454545454545455,0.8969729344729345,0.46588868940754063,30.0,35.0,277.0,15.0
BOOKKEEPER,3,66.66666666666667,IBk,BestFirst(Bi-directional),OverSampling,None,0.29245283018867924,0.6888888888888889,0.4105960264900662,0.7138888888888889,0.2838596253972548,31.0,75.0,237.0,14.0
BOOKKEEPER,3,66.66666666666667,RandomForest,BestFirst(Bi-directional),UnderSampling,None,0.2866666666666667,0.9555555555555556,0.44102564102564107,0.8450498575498575,0.3065490510558674,43.0,107.0,205.0,2.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,BestFirst(Bi-directional),UnderSampling,None,0.4507042253521127,0.7111111111111111,0.5517241379310346,0.9061965811965812,0.46993318485523367,32.0,39.0,273.0,13.0
BOOKKEEPER,3,66.66666666666667,IBk,BestFirst(Bi-directional),UnderSampling,None,0.23026315789473684,0.7777777777777778,0.3553299492385787,0.7019230769230769,0.19965047926706578,35.0,117.0,195.0,10.0
BOOKKEEPER,3,66.66666666666667,RandomForest,BestFirst(Bi-directional),SMOTE,None,0.3402061855670103,0.7333333333333333,0.46478873239436624,0.8448005698005698,0.3534458106948813,33.0,64.0,248.0,12.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,BestFirst(Bi-directional),SMOTE,None,0.4567901234567901,0.8222222222222222,0.5873015873015872,0.9132834757834758,0.5074816937281119,37.0,44.0,268.0,8.0
BOOKKEEPER,3,66.66666666666667,IBk,BestFirst(Bi-directional),SMOTE,None,0.28205128205128205,0.7333333333333333,0.4074074074074074,0.7291310541310542,0.27549467275494655,33.0,84.0,228.0,12.0
BOOKKEEPER,3,66.66666666666667,RandomForest,BestFirst(Bi-directional),None,SensitiveLearning,0.2468354430379747,0.8666666666666667,0.3842364532019705,0.8282763532763533,0.23391873100890975,39.0,119.0,193.0,6.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,BestFirst(Bi-directional),None,SensitiveLearning,0.4482758620689655,0.8666666666666667,0.5909090909090909,0.9151709401709401,0.5093907466788823,39.0,48.0,264.0,6.0
BOOKKEEPER,3,66.66666666666667,IBk,BestFirst(Bi-directional),None,SensitiveLearning,0.2653061224489796,0.5777777777777777,0.3636363636363636,0.6982905982905983,0.23073097961213324,26.0,72.0,240.0,19.0
BOOKKEEPER,4,73.96408839779005,RandomForest,None,None,None,0.45098039215686275,0.8518518518518519,0.5897435897435898,0.9479894179894179,0.5473510430736908,23.0,28.0,322.0,4.0
BOOKKEEPER,4,73.96408839779005,NaiveBayes,None,None,None,0.36,0.6666666666666666,0.4675324675324675,0.900952380952381,0.41292870978768675,18.0,32.0,318.0,9.0
BOOKKEEPER,4,73.96408839779005,IBk,None,None,None,0.3114754098360656,0.7037037037037037,0.43181818181818177,0.8404761904761905,0.3691854628204273,19.0,42.0,308.0,8.0
BOOKKEEPER,4,73.96408839779005,RandomForest,BestFirst(Bi-directional),None,None,0.4375,0.7777777777777778,0.56,0.9482539682539682,0.5155939726667444,21.0,27.0,323.0,6.0
BOOKKEEPER,4,73.96408839779005,NaiveBayes,BestFirst(Bi-directional),None,None,0.32142857142857145,0.6666666666666666,0.43373493975903615,0.9010582010582011,0.3731559769342342,18.0,38.0,312.0,9.0
BOOKKEEPER,4,73.96408839779005,IBk,BestFirst(Bi-directional),None,None,0.3230769230769231,0.7777777777777778,0.45652173913043476,0.8625396825396825,0.39532944120100094,21.0,44.0,306.0,6.0
BOOKKEEPER,4,73.96408839779005,RandomForest,None,OverSampling,None,0.3333333333333333,0.9259259259259259,0.49019607843137253,0.9583068783068783,0.43018253691431196,25.0,50.0,300.0,2.0
BOOKKEEPER,4,73.96408839779005,NaiveBayes,None,OverSampling,None,0.3333333333333333,0.5925925925925926,0.4266666666666667,0.8947089947089947,0.3688042674142432,16.0,32.0,318.0,11.0
BOOKKEEPER,4,73.96408839779005,IBk,None,OverSampling,None,0.25,0.8148148148148148,0.38260869565217387,0.8415343915343916,0.3066082946921224,22.0,66.0,284.0,5.0
BOOKKEEPER,4,73.96408839779005,RandomForest,None,UnderSampling,None,0.26732673267326734,1.0,0.421875,0.9392063492063492,0.3482080276622587,27.0,74.0,276.0,0.0
BOOKKEEPER,4,73.96408839779005,NaiveBayes,None,UnderSampling,None,0.2857142857142857,0.37037037037037035,0.3225806451612903,0.8709523809523809,0.26298640849003907,10.0,25.0,325.0,17.0
BOOKKEEPER,4,73.96408839779005,IBk,None,UnderSampling,None,0.1875,0.8888888888888888,0.3096774193548387,0.8144444444444444,0.2170681055062787,24.0,104.0,246.0,3.0
BOOKKEEPER,4,73.96408839779005,RandomForest,None,SMOTE,None,0.36923076923076925,0.8888888888888888,0.5217391304347826,0.9501058201058201,0.46788990825688065,24.0,41.0,309.0,3.0
BOOKKEEPER,4,73.96408839779005,NaiveBayes,None,SMOTE,None,0.27941176470588236,0.7037037037037037,0.4,0.9059259259259259,0.3314563046386462,19.0,49.0,301.0,8.0
BOOKKEEPER,4,73.96408839779005,IBk,None,SMOTE,None,0.2441860465116279,0.7777777777777778,0.37168141592920356,0.8328571428571429,0.29480728192428285,21.0,65.0,285.0,6.0
BOOKKEEPER,4,73.96408839779005,RandomForest,None,None,SensitiveLearning,0.2736842105263158,0.9629629629629629,0.42622950819672134,0.951058201058201,0.35419929522317933,26.0,69.0,281.0,1.0
BOOKKEEPER,4,73.96408839779005,NaiveBayes,None,None,SensitiveLearning,0.2878787878787879,0.7037037037037037,0.40860215053763443,0.900952380952381,0.3416833349207863,19.0,47.0,303.0,8.0
BOOKKEEPER,4,73.96408839779005,IBk,None,None,SensitiveLearning,0.3064516129032258,0.7037037037037037,0.42696629213483145,0.8404761904761905,0.36344975997351414,19.0,43.0,307.0,8.0
BOOKKEEPER,4,73.96408839779005,RandomForest,BestFirst(Bi-directional),OverSampling,None,0.3194444444444444,0.8518518518518519,0.4646464646464646,0.9342328042328042,0.4023927022581129,23.0,49.0,301.0,4.0
BOOKKEEPER,4,73.96408839779005,NaiveBayes,BestFirst(Bi-directional),OverSampling,None,0.2878787878787879,0.7037037037037037,0.40860215053763443,0.8980423280423281,0.3416833349207863,19.0,47.0,303.0,8.0
BOOKKEEPER,4,73.96408839779005,IBk,BestFirst(Bi-directional),OverSampling,None,0.2777777777777778,0.7407407407407407,0.40404040404040403,0.8218518518518518,0.33473904590997494,20.0,52.0,298.0,7.0
BOOKKEEPER,4,73.96408839779005,RandomForest,BestFirst(Bi-directional),UnderSampling,None,0.23008849557522124,0.9629629629629629,0.37142857142857144,0.9229100529100529,0.28925832297870524,26.0,87.0,263.0,1.0
BOOKKEEPER,4,73.96408839779005,NaiveBayes,BestFirst(Bi-directional),UnderSampling,None,0.3076923076923077,0.7407407407407407,0.4347826086956522,0.905978835978836,0.37114261884904054,20.0,45.0,305.0,7.0
BOOKKEEPER,4,73.96408839779005,IBk,BestFirst(Bi-directional),UnderSampling,None,0.1935483870967742,0.8888888888888888,0.3178807947019867,0.8115873015873016,0.2269514841432582,24.0,100.0,250.0,3.0
BOOKKEEPER,4,73.96408839779005,RandomForest,BestFirst(Bi-directional),SMOTE,None,0.3898305084745763,0.8518518518518519,0.5348837209302325,0.9457671957671958,0.4841975646463264,23.0,36.0,314.0,4.0
BOOKKEEPER,4,73.96408839779005,NaiveBayes,BestFirst(Bi-directional),SMOTE,None,0.28169014084507044,0.7407407407407407,0.4081632653061224,0.9034920634920635,0.33963517757912537,20.0,51.0,299.0,7.0
BOOKKEEPER,4,73.96408839779005,IBk,BestFirst(Bi-directional),SMOTE,None,0.29333333333333333,0.8148148148148148,0.43137254901960786,0.8630687830687831,0.3644343680967328,22.0,53.0,297.0,5.0
BOOKKEEPER,4,73.96408839779005,RandomForest,BestFirst(Bi-directional),None,SensitiveLearning,0.28888888888888886,0.9629629629629629,0.44444444444444436,0.9483068783068783,0.3756528828759969,26.0,64.0,286.0,1.0
BOOKKEEPER,4,73.96408839779005,NaiveBayes,BestFirst(Bi-directional),None,SensitiveLearning,0.2702702702702703,0.7407407407407407,0.396039603960396,0.9010582010582011,0.32522519879111517,20.0,54.0,296.0,7.0
BOOKKEEPER,4,73.96408839779005,IBk,BestFirst(Bi-directional),None,SensitiveLearning,0.3181818181818182,0.7777777777777778,0.45161290322580644,0.8625396825396825,0.38956091056291076,21.0,45.0,305.0,6.0
BOOKKEEPER,5,77.89133942980096,RandomForest,None,None,None,0.6097560975609756,0.6578947368421053,0.6329113924050632,0.9043318752645689,0.5939426975096241,25.0,16.0,357.0,13.0
BOOKKEEPER,5,77.89133942980096,NaiveBayes,None,None,None,0.4318181818181818,0.5,0.46341463414634143,0.85678001975448,0.40430858422821025,19.0,25.0,348.0,19.0
BOOKKEEPER,5,77.89133942980096,IBk,None,None,None,0.4772727272727273,0.5526315789473685,0.5121951219512196,0.8312050232820658,0.4584623492983729,21.0,23.0,350.0,17.0
BOOKKEEPER,5,77.89133942980096,RandomForest,BestFirst(Bi-directional),None,None,0.6153846153846154,0.631578947368421,0.6233766233766234,0.8889868773811204,0.5844576927099675,24.0,15.0,358.0,14.0
BOOKKEEPER,5,77.89133942980096,NaiveBayes,BestFirst(Bi-directional),None,None,0.46938775510204084,0.6052631578947368,0.5287356321839081,0.8707139833497954,0.4739487403615023,23.0,26.0,347.0,15.0
BOOKKEEPER,5,77.89133942980096,IBk,BestFirst(Bi-directional),None,None,0.5135135135135135,0.5,0.5066666666666666,0.8166360942570905,0.45714489701210137,19.0,18.0,355.0,19.0
BOOKKEEPER,5,77.89133942980096,RandomForest,None,OverSampling,None,0.5,0.7105263157894737,0.5869565217391304,0.8936080146747566,0.5366678533285867,27.0,27.0,346.0,11.0
BOOKKEEPER,5,77.89133942980096,NaiveBayes,None,OverSampling,None,0.19642857142857142,0.868421052631579,0.32038834951456313,0.8533229857485537,0.19969957439706254,33.0,135.0,238.0,5.0
BOOKKEEPER,5,77.89133942980096,IBk,None,OverSampling,None,0.40384615384615385,0.5526315789473685,0.46666666666666673,0.8125440948215041,0.4028694230885648,21.0,31.0,342.0,17.0
BOOKKEEPER,5,77.89133942980096,RandomForest,None,UnderSampling,None,0.3409090909090909,0.7894736842105263,0.4761904761904762,0.870467052349372,0.39850991174774913,30.0,58.0,315.0,8.0
BOOKKEEPER,5,77.89133942980096,NaiveBayes,None,UnderSampling,None,0.29591836734693877,0.7631578947368421,0.42647058823529405,0.8615069846197263,0.33830085865257603,29.0,69.0,304.0,9.0
BOOKKEEPER,5,77.89133942980096,IBk,None,UnderSampling,None,0.23478260869565218,0.7105263157894737,0.35294117647058826,0.7491181035699167,0.24849010952477674,27.0,88.0,285.0,11.0
BOOKKEEPER,5,77.89133942980096,RandomForest,None,SMOTE,None,0.5185185185185185,0.7368421052631579,0.6086956521739131,0.9066600818399887,0.5610537557849768,28.0,26.0,347.0,10.0
BOOKKEEPER,5,77.89133942980096,NaiveBayes,None,SMOTE,None,0.38028169014084506,0.7105263157894737,0.4954128440366972,0.8558275716099901,0.4263127173057892,27.0,44.0,329.0,11.0
