Classifier,Size,Number Of Revisions(numNR),Number Of DefectFixes(NumFix),Number Of Comment Lines In Class,totalInvokedClasses,Number Of Methods,Number Of Java Imports,Number Of Api Imports,Number Of Package Imports,Number Of Authors (numAuth),CHURN value,CHURN MAX,CHURN Average,LOC touched value,LOC added MAX,LOC added Average,LOC deleted MAX,LOC deleted Average,Is Buggy,Total Runs
NaiveBayes,55,65,0,80,5,5,60,5,80,0,0,0,0,10,5,0,55,0,80,80
IBk,55,65,0,80,5,5,60,5,80,0,0,0,0,10,5,0,55,0,80,80
RandomForest,55,65,0,80,5,5,60,5,80,0,0,0,0,10,5,0,55,0,80,80
