DATASET,INDEX TRAINING_RELEASES,TRAINING_INSTANCES(%),CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,F1,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES,TOTAL_COST
AVRO,3,65.56291390728477,NaiveBayes,None,None,SensitiveLearning,0.06451612903225806,1.0,0.12121212121212122,0.9509803921568627,0.08827085852478851,2.0,29.0,73.0,0.0,29.0
AVRO,3,65.56291390728477,IBk,None,None,SensitiveLearning,0.09090909090909091,1.0,0.16666666666666669,0.9019607843137255,0.1362126245847179,2.0,20.0,82.0,0.0,20.0
AVRO,3,65.56291390728477,RandomForest,BestFirst(Bi-directional),SMOTE,None,0.06451612903225806,1.0,0.12121212121212122,0.9779411764705882,0.08827085852478851,2.0,29.0,73.0,0.0,29.0
AVRO,3,65.56291390728477,NaiveBayes,BestFirst(Bi-directional),SMOTE,None,0.09090909090909091,1.0,0.16666666666666669,0.946078431372549,0.1362126245847179,2.0,20.0,82.0,0.0,20.0
AVRO,3,65.56291390728477,IBk,BestFirst(Bi-directional),SMOTE,None,0.024390243902439025,0.5,0.046511627906976744,0.5563725490196079,0.010213556174558838,1.0,40.0,62.0,1.0,50.0
AVRO,3,65.56291390728477,RandomForest,BestFirst(Bi-directional),None,SensitiveLearning,0.038461538461538464,1.0,0.07407407407407407,0.8995098039215687,0.03846153846153855,2.0,50.0,52.0,0.0,50.0
AVRO,3,65.56291390728477,NaiveBayes,BestFirst(Bi-directional),None,SensitiveLearning,0.06451612903225806,1.0,0.12121212121212122,0.946078431372549,0.08827085852478851,2.0,29.0,73.0,0.0,29.0
AVRO,3,65.56291390728477,IBk,BestFirst(Bi-directional),None,SensitiveLearning,0.030303030303030304,0.5,0.05714285714285715,0.5955882352941176,0.021664766248574586,1.0,32.0,70.0,1.0,42.0
AVRO,4,74.2014742014742,RandomForest,None,None,None,0.14285714285714285,0.3333333333333333,0.2,0.9035947712418301,0.16666666666666707,1.0,6.0,96.0,2.0,26.0
AVRO,4,74.2014742014742,NaiveBayes,None,None,None,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.9411764705882353,0.30348258706467696,2.0,7.0,95.0,1.0,17.0
AVRO,4,74.2014742014742,IBk,None,None,None,0.07142857142857142,0.3333333333333333,0.11764705882352941,0.6127450980392157,0.07407407407407354,1.0,13.0,89.0,2.0,33.0
AVRO,4,74.2014742014742,RandomForest,BestFirst(Bi-directional),None,None,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.8986928104575164,0.30348258706467696,2.0,7.0,95.0,1.0,17.0
AVRO,4,74.2014742014742,NaiveBayes,BestFirst(Bi-directional),None,None,0.2857142857142857,0.6666666666666666,0.4,0.9477124183006536,0.3749999999999997,2.0,5.0,97.0,1.0,15.0
AVRO,4,74.2014742014742,IBk,BestFirst(Bi-directional),None,None,0.125,0.6666666666666666,0.21052631578947367,0.7679738562091504,0.17061611374407534,2.0,14.0,88.0,1.0,24.0
AVRO,4,74.2014742014742,RandomForest,None,SMOTE,None,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.8905228758169934,0.12935323383084565,1.0,8.0,94.0,2.0,28.0
AVRO,4,74.2014742014742,NaiveBayes,None,SMOTE,None,0.16666666666666666,0.6666666666666666,0.26666666666666666,0.9313725490196079,0.2315369261477047,2.0,10.0,92.0,1.0,20.0
AVRO,4,74.2014742014742,IBk,None,SMOTE,None,0.125,0.6666666666666666,0.21052631578947367,0.7696078431372549,0.17061611374407534,2.0,14.0,88.0,1.0,24.0
AVRO,4,74.2014742014742,RandomForest,None,None,SensitiveLearning,0.10526315789473684,0.6666666666666666,0.18181818181818182,0.8790849673202614,0.139344262295082,2.0,17.0,85.0,1.0,27.0
AVRO,4,74.2014742014742,NaiveBayes,None,None,SensitiveLearning,0.14285714285714285,0.6666666666666666,0.23529411764705882,0.9411764705882353,0.19753086419753063,2.0,12.0,90.0,1.0,22.0
AVRO,4,74.2014742014742,IBk,None,None,SensitiveLearning,0.07142857142857142,0.3333333333333333,0.11764705882352941,0.6127450980392157,0.07407407407407354,1.0,13.0,89.0,2.0,33.0
AVRO,4,74.2014742014742,RandomForest,BestFirst(Bi-directional),SMOTE,None,0.09090909090909091,0.3333333333333333,0.14285714285714288,0.8366013071895425,0.10256410256410207,1.0,10.0,92.0,2.0,30.0
AVRO,4,74.2014742014742,NaiveBayes,BestFirst(Bi-directional),SMOTE,None,0.1875,1.0,0.3157894736842105,0.954248366013072,0.28120063191153216,3.0,13.0,89.0,0.0,13.0
AVRO,4,74.2014742014742,IBk,BestFirst(Bi-directional),SMOTE,None,0.08695652173913043,0.6666666666666666,0.15384615384615383,0.7336601307189542,0.10879629629629632,2.0,21.0,81.0,1.0,31.0
AVRO,4,74.2014742014742,RandomForest,BestFirst(Bi-directional),None,SensitiveLearning,0.10526315789473684,0.6666666666666666,0.18181818181818182,0.8545751633986928,0.139344262295082,2.0,17.0,85.0,1.0,27.0
AVRO,4,74.2014742014742,NaiveBayes,BestFirst(Bi-directional),None,SensitiveLearning,0.1875,1.0,0.3157894736842105,0.9477124183006536,0.28120063191153216,3.0,13.0,89.0,0.0,13.0
AVRO,4,74.2014742014742,IBk,BestFirst(Bi-directional),None,SensitiveLearning,0.125,0.6666666666666666,0.21052631578947367,0.7679738562091504,0.17061611374407534,2.0,14.0,88.0,1.0,24.0
AVRO,5,79.4921875,RandomForest,None,None,None,1.0,0.21428571428571427,0.35294117647058826,0.7912087912087912,0.32098765432098775,3.0,0.0,91.0,11.0,110.0
AVRO,5,79.4921875,NaiveBayes,None,None,None,0.4,0.14285714285714285,0.21052631578947364,0.8139717425431711,0.1509433962264146,2.0,3.0,88.0,12.0,123.0
AVRO,5,79.4921875,IBk,None,None,None,0.75,0.21428571428571427,0.3333333333333333,0.6707221350078493,0.29133858267716495,3.0,1.0,90.0,11.0,111.0
AVRO,5,79.4921875,RandomForest,BestFirst(Bi-directional),None,None,1.0,0.21428571428571427,0.35294117647058826,0.7747252747252747,0.32098765432098775,3.0,0.0,91.0,11.0,110.0
AVRO,5,79.4921875,NaiveBayes,BestFirst(Bi-directional),None,None,0.3333333333333333,0.21428571428571427,0.2608695652173913,0.8406593406593407,0.17475728155339793,3.0,6.0,85.0,11.0,116.0
AVRO,5,79.4921875,IBk,BestFirst(Bi-directional),None,None,1.0,0.21428571428571427,0.35294117647058826,0.6762166405023547,0.32098765432098775,3.0,0.0,91.0,11.0,110.0
AVRO,5,79.4921875,RandomForest,None,SMOTE,None,1.0,0.21428571428571427,0.35294117647058826,0.814756671899529,0.32098765432098775,3.0,0.0,91.0,11.0,110.0
AVRO,5,79.4921875,NaiveBayes,None,SMOTE,None,0.2857142857142857,0.14285714285714285,0.19047619047619047,0.8312401883830455,0.11149825783972113,2.0,5.0,86.0,12.0,125.0
AVRO,5,79.4921875,IBk,None,SMOTE,None,0.75,0.21428571428571427,0.3333333333333333,0.6707221350078493,0.29133858267716495,3.0,1.0,90.0,11.0,111.0
AVRO,5,79.4921875,RandomForest,None,None,SensitiveLearning,0.5714285714285714,0.2857142857142857,0.38095238095238093,0.8249607535321821,0.3205574912891984,4.0,3.0,88.0,10.0,103.0
AVRO,5,79.4921875,NaiveBayes,None,None,SensitiveLearning,0.25,0.14285714285714285,0.18181818181818182,0.8139717425431711,0.0939597315436242,2.0,6.0,85.0,12.0,126.0
AVRO,5,79.4921875,IBk,None,None,SensitiveLearning,0.75,0.21428571428571427,0.3333333333333333,0.6707221350078493,0.29133858267716495,3.0,1.0,90.0,11.0,111.0
AVRO,5,79.4921875,RandomForest,BestFirst(Bi-directional),SMOTE,None,1.0,0.2857142857142857,0.4444444444444445,0.7111459968602826,0.4094488188976377,4.0,0.0,91.0,10.0,100.0
AVRO,5,79.4921875,NaiveBayes,BestFirst(Bi-directional),SMOTE,None,0.36363636363636365,0.2857142857142857,0.32,0.8422291993720565,0.2296072507552873,4.0,7.0,84.0,10.0,107.0
AVRO,5,79.4921875,IBk,BestFirst(Bi-directional),SMOTE,None,0.75,0.21428571428571427,0.3333333333333333,0.6707221350078493,0.29133858267716495,3.0,1.0,90.0,11.0,111.0
AVRO,5,79.4921875,RandomForest,BestFirst(Bi-directional),None,SensitiveLearning,0.625,0.35714285714285715,0.45454545454545453,0.804160125588697,0.39597315436241576,5.0,3.0,88.0,9.0,93.0
AVRO,5,79.4921875,NaiveBayes,BestFirst(Bi-directional),None,SensitiveLearning,0.5,0.42857142857142855,0.4615384615384615,0.8406593406593407,0.385964912280702,6.0,6.0,85.0,8.0,86.0
AVRO,5,79.4921875,IBk,BestFirst(Bi-directional),None,SensitiveLearning,1.0,0.21428571428571427,0.35294117647058826,0.6762166405023547,0.32098765432098775,3.0,0.0,91.0,11.0,110.0
AVRO,6,81.65869218500798,RandomForest,None,None,None,1.0,0.4117647058823529,0.5833333333333334,0.9432773109243697,0.544012688342585,7.0,0.0,98.0,10.0,100.0
AVRO,6,81.65869218500798,NaiveBayes,None,None,None,0.625,0.29411764705882354,0.4,0.8427370948379351,0.3373031117940837,5.0,3.0,95.0,12.0,123.0
AVRO,6,81.65869218500798,IBk,None,None,None,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.8565426170468188,0.7249743764947046,11.0,1.0,97.0,6.0,61.0
AVRO,6,81.65869218500798,RandomForest,BestFirst(Bi-directional),None,None,0.875,0.4117647058823529,0.56,0.9285714285714286,0.5140222819823281,7.0,1.0,97.0,10.0,101.0
AVRO,6,81.65869218500798,NaiveBayes,BestFirst(Bi-directional),None,None,0.6666666666666666,0.35294117647058826,0.46153846153846156,0.8751500600240096,0.4001490312965724,6.0,3.0,95.0,11.0,113.0
AVRO,6,81.65869218500798,IBk,BestFirst(Bi-directional),None,None,0.9090909090909091,0.5882352941176471,0.7142857142857143,0.8820528211284514,0.6767392832044973,10.0,1.0,97.0,7.0,71.0
AVRO,6,81.65869218500798,RandomForest,None,SMOTE,None,0.8,0.47058823529411764,0.5925925925925927,0.9432773109243697,0.5424954792043399,8.0,2.0,96.0,9.0,92.0
AVRO,6,81.65869218500798,NaiveBayes,None,SMOTE,None,0.6666666666666666,0.47058823529411764,0.5517241379310345,0.8751500600240096,0.4892381277758798,8.0,4.0,94.0,9.0,94.0
AVRO,6,81.65869218500798,IBk,None,SMOTE,None,0.9230769230769231,0.7058823529411765,0.8000000000000002,0.8874549819927972,0.7706117021276595,12.0,1.0,97.0,5.0,51.0
AVRO,6,81.65869218500798,RandomForest,None,None,SensitiveLearning,0.7647058823529411,0.7647058823529411,0.7647058823529412,0.959483793517407,0.7238895558223287,13.0,4.0,94.0,4.0,44.0
AVRO,6,81.65869218500798,NaiveBayes,None,None,SensitiveLearning,0.5833333333333334,0.4117647058823529,0.4827586206896552,0.8427370948379351,0.4106593782029382,7.0,5.0,93.0,10.0,105.0
AVRO,6,81.65869218500798,IBk,None,None,SensitiveLearning,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.8565426170468188,0.7249743764947046,11.0,1.0,97.0,6.0,61.0
AVRO,6,81.65869218500798,RandomForest,BestFirst(Bi-directional),SMOTE,None,0.8181818181818182,0.5294117647058824,0.6428571428571428,0.9240696278511404,0.5959241040056216,9.0,2.0,96.0,8.0,82.0
AVRO,6,81.65869218500798,NaiveBayes,BestFirst(Bi-directional),SMOTE,None,0.5384615384615384,0.4117647058823529,0.4666666666666667,0.8802521008403361,0.38829787234042573,7.0,6.0,92.0,10.0,106.0
AVRO,6,81.65869218500798,IBk,BestFirst(Bi-directional),SMOTE,None,0.7692307692307693,0.5882352941176471,0.6666666666666667,0.8724489795918368,0.6176861702127657,10.0,3.0,95.0,7.0,73.0
AVRO,6,81.65869218500798,RandomForest,BestFirst(Bi-directional),None,SensitiveLearning,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.9174669867947179,0.5858343337334936,11.0,6.0,92.0,6.0,66.0
AVRO,6,81.65869218500798,NaiveBayes,BestFirst(Bi-directional),None,SensitiveLearning,0.5384615384615384,0.4117647058823529,0.4666666666666667,0.8751500600240096,0.38829787234042573,7.0,6.0,92.0,10.0,106.0
AVRO,6,81.65869218500798,IBk,BestFirst(Bi-directional),None,SensitiveLearning,0.7333333333333333,0.6470588235294118,0.6875,0.8820528211284514,0.6372239747634068,11.0,4.0,94.0,6.0,64.0
AVRO,7,79.87261146496816,RandomForest,None,None,None,0.375,0.75,0.5,0.9788961038961039,0.48253275109170357,3.0,5.0,149.0,1.0,15.0
AVRO,7,79.87261146496816,NaiveBayes,None,None,None,0.2,1.0,0.33333333333333337,0.9569805194805194,0.3039647577092514,4.0,16.0,138.0,0.0,16.0
AVRO,7,79.87261146496816,IBk,None,None,None,0.18181818181818182,0.5,0.26666666666666666,0.8936688311688312,0.23838737949167385,2.0,9.0,145.0,2.0,29.0
AVRO,7,79.87261146496816,RandomForest,BestFirst(Bi-directional),None,None,0.07142857142857142,0.25,0.11111111111111112,0.8896103896103896,0.07467057101024938,1.0,13.0,141.0,3.0,43.0
AVRO,7,79.87261146496816,NaiveBayes,BestFirst(Bi-directional),None,None,0.21052631578947367,1.0,0.34782608695652173,0.9577922077922078,0.31935669155657725,4.0,15.0,139.0,0.0,15.0
AVRO,7,79.87261146496816,IBk,BestFirst(Bi-directional),None,None,0.0,0.0,0.0,0.685064935064935,-0.04274041483343807,0.0,17.0,137.0,4.0,57.0
AVRO,7,79.87261146496816,RandomForest,None,SMOTE,None,0.19047619047619047,1.0,0.32,0.9561688311688312,0.2897937599153888,4.0,17.0,137.0,0.0,17.0
AVRO,7,79.87261146496816,NaiveBayes,None,SMOTE,None,0.14814814814814814,1.0,0.25806451612903225,0.974025974025974,0.22383596753524157,4.0,23.0,131.0,0.0,23.0
AVRO,7,79.87261146496816,IBk,None,SMOTE,None,0.125,0.75,0.21428571428571427,0.8628246753246753,0.17863894139886624,3.0,21.0,133.0,1.0,31.0
AVRO,7,79.87261146496816,RandomForest,None,None,SensitiveLearning,0.16,1.0,0.2758620689655173,0.9748376623376623,0.24281150159744408,4.0,21.0,133.0,0.0,21.0
AVRO,7,79.87261146496816,NaiveBayes,None,None,SensitiveLearning,0.15384615384615385,1.0,0.2666666666666667,0.9561688311688312,0.2330097087378645,4.0,22.0,132.0,0.0,22.0
AVRO,7,79.87261146496816,IBk,None,None,SensitiveLearning,0.25,0.75,0.375,0.8936688311688312,0.35032894736842124,3.0,9.0,145.0,1.0,19.0
AVRO,7,79.87261146496816,RandomForest,BestFirst(Bi-directional),SMOTE,None,0.10714285714285714,0.75,0.1875,0.8896103896103896,0.149834437086093,3.0,25.0,129.0,1.0,35.0
AVRO,7,79.87261146496816,NaiveBayes,BestFirst(Bi-directional),SMOTE,None,0.12903225806451613,1.0,0.2285714285714286,0.9659090909090909,0.19235138205225263,4.0,27.0,127.0,0.0,27.0
AVRO,7,79.87261146496816,IBk,BestFirst(Bi-directional),SMOTE,None,0.03125,0.25,0.05555555555555555,0.7069805194805194,0.01104565537555188,1.0,31.0,123.0,3.0,61.0
AVRO,7,79.87261146496816,RandomForest,BestFirst(Bi-directional),None,SensitiveLearning,0.10526315789473684,1.0,0.1904761904761905,0.8782467532467533,0.15161086544535662,4.0,34.0,120.0,0.0,34.0
AVRO,7,79.87261146496816,NaiveBayes,BestFirst(Bi-directional),None,SensitiveLearning,0.11764705882352941,1.0,0.21052631578947367,0.9577922077922078,0.17306350314026495,4.0,30.0,124.0,0.0,30.0
AVRO,7,79.87261146496816,IBk,BestFirst(Bi-directional),None,SensitiveLearning,0.0,0.0,0.0,0.685064935064935,-0.046567643516660276,0.0,29.0,125.0,4.0,69.0
AVRO,8,82.7186512118019,RandomForest,None,None,None,0.2727272727272727,0.375,0.3157894736842105,0.7948717948717948,0.2748299319727896,3.0,8.0,148.0,5.0,58.0
AVRO,8,82.7186512118019,NaiveBayes,None,None,None,0.25,0.375,0.3,0.8052884615384616,0.25647668393782386,3.0,9.0,147.0,5.0,59.0
AVRO,8,82.7186512118019,IBk,None,None,None,0.1875,0.375,0.25,0.7584134615384616,0.19782608695652207,3.0,13.0,143.0,5.0,63.0
AVRO,8,82.7186512118019,RandomForest,BestFirst(Bi-directional),None,None,0.36363636363636365,0.5,0.4210526315789474,0.8016826923076923,0.3863945578231298,4.0,7.0,149.0,4.0,47.0
AVRO,8,82.7186512118019,NaiveBayes,BestFirst(Bi-directional),None,None,0.1875,0.375,0.25,0.7780448717948718,0.19782608695652207,3.0,13.0,143.0,5.0,63.0
AVRO,8,82.7186512118019,IBk,BestFirst(Bi-directional),None,None,0.16666666666666666,0.375,0.23076923076923078,0.7720352564102564,0.17505030181086534,3.0,15.0,141.0,5.0,65.0
AVRO,8,82.7186512118019,RandomForest,None,SMOTE,None,0.17647058823529413,0.375,0.24,0.7604166666666666,0.18599791013584108,3.0,14.0,142.0,5.0,64.0
AVRO,8,82.7186512118019,NaiveBayes,None,SMOTE,None,0.1875,0.375,0.25,0.8253205128205128,0.19782608695652207,3.0,13.0,143.0,5.0,63.0
AVRO,8,82.7186512118019,IBk,None,SMOTE,None,0.1111111111111111,0.375,0.17142857142857143,0.7319711538461539,0.10399397136397873,3.0,24.0,132.0,5.0,74.0
AVRO,8,82.7186512118019,RandomForest,None,None,SensitiveLearning,0.21052631578947367,0.5,0.2962962962962963,0.8000801282051282,0.244422890397672,4.0,15.0,141.0,4.0,55.0
AVRO,8,82.7186512118019,NaiveBayes,None,None,SensitiveLearning,0.1875,0.375,0.25,0.8052884615384616,0.19782608695652207,3.0,13.0,143.0,5.0,63.0
AVRO,8,82.7186512118019,IBk,None,None,SensitiveLearning,0.15789473684210525,0.375,0.22222222222222218,0.7584134615384616,0.16488845780795322,3.0,16.0,140.0,5.0,66.0
AVRO,8,82.7186512118019,RandomForest,BestFirst(Bi-directional),SMOTE,None,0.16666666666666666,0.375,0.23076923076923078,0.7608173076923077,0.17505030181086534,3.0,15.0,141.0,5.0,65.0
AVRO,8,82.7186512118019,NaiveBayes,BestFirst(Bi-directional),SMOTE,None,0.14814814814814814,0.5,0.22857142857142856,0.7836538461538461,0.1657874905802561,4.0,23.0,133.0,4.0,63.0
AVRO,8,82.7186512118019,IBk,BestFirst(Bi-directional),SMOTE,None,0.09375,0.375,0.15,0.7291666666666666,0.07804232804232834,3.0,29.0,127.0,5.0,79.0
