Ticket Key,Injected Version,Opening Version,Fixed Version,Affected Version List,Number of Commits,Creation Date,Resolution Date
BOOKKEEPER-903,4.4.0,4.4.0,4.5.0,{4.4.0},1,2016-03-09,2016-11-09
BOOKKEEPER-907,4.4.0,4.4.0,4.5.0,{4.4.0},1,2016-03-16,2017-01-30
BOOKKEEPER-908,4.3.2,4.4.0,4.5.0,{4.3.2},1,2016-03-29,2016-07-11
BOOKKEEPER-909,4.3.2,4.4.0,4.4.0,{4.3.2},1,2016-03-31,2016-03-31
BOOKKEEPER-910,4.3.2,4.4.0,4.4.0,{4.3.2},1,2016-04-01,2016-04-11
BOOKKEEPER-911,4.3.2,4.4.0,4.4.0,{4.3.2},1,2016-04-02,2016-04-27
BOOKKEEPER-913,4.3.2,4.4.0,4.4.0,{4.3.2},1,2016-04-05,2016-04-10
BOOKKEEPER-914,4.3.2,4.4.0,4.4.0,{4.3.2},1,2016-04-06,2016-04-07
BOOKKEEPER-924,4.3.2,4.4.0,4.5.0,{4.3.2},1,2016-04-22,2016-10-13
BOOKKEEPER-925,4.3.2,4.4.0,4.4.0,{4.3.2},2,2016-04-27,2016-04-30
BOOKKEEPER-926,4.3.1,4.4.0,4.4.0,{4.3.1},1,2016-04-30,2016-05-04
BOOKKEEPER-927,4.3.2,4.4.0,4.5.0,{4.3.2},1,2016-05-15,2017-05-24
BOOKKEEPER-933,4.4.0,4.5.0,4.5.0,{4.4.0},1,2016-06-17,2016-07-31
BOOKKEEPER-939,4.4.0,4.5.0,4.5.0,{4.4.0},1,2016-07-11,2016-07-11
BOOKKEEPER-952,4.4.0,4.5.0,4.5.0,{4.4.0},1,2016-10-14,2016-10-20
BOOKKEEPER-958,4.4.0,4.5.0,4.5.0,{4.4.0},1,2016-10-19,2016-11-09
BOOKKEEPER-957,4.4.0,4.5.0,4.5.0,{4.4.0},1,2016-10-19,2016-11-09
BOOKKEEPER-956,4.4.0,4.5.0,4.5.0,{4.4.0},1,2016-10-19,2016-11-09
BOOKKEEPER-955,4.4.0,4.5.0,4.5.0,{4.4.0},1,2016-10-19,2016-11-29
BOOKKEEPER-959,4.4.0,4.5.0,4.5.0,{4.4.0},1,2016-10-20,2017-01-31
BOOKKEEPER-980,4.4.0,4.5.0,4.5.0,{4.4.0},1,2016-11-29,2017-07-18
BOOKKEEPER-984,4.4.0,4.5.0,4.5.0,{4.4.0},1,2016-12-10,2016-12-17
BOOKKEEPER-986,4.4.0,4.5.0,4.5.0,{4.4.0},1,2016-12-13,2016-12-21
BOOKKEEPER-988,4.4.0,4.5.0,4.5.0,{4.4.0},1,2016-12-18,2016-12-20
BOOKKEEPER-989,4.4.0,4.5.0,4.5.0,{4.4.0},1,2016-12-20,2017-06-01
BOOKKEEPER-999,4.4.0,4.5.0,4.5.0,{4.4.0},1,2017-02-08,2017-03-22
BOOKKEEPER-1013,4.4.0,4.5.0,4.5.0,{4.4.0},1,2017-03-23,2017-03-23
BOOKKEEPER-1018,4.4.0,4.5.0,4.5.0,{4.4.0},3,2017-03-27,2017-04-03
BOOKKEEPER-1021,4.4.0,4.5.0,4.5.0,{4.4.0},1,2017-04-03,2017-05-26
BOOKKEEPER-1031,4.4.0,4.5.0,4.5.0,{4.4.0},1,2017-04-10,2017-04-11
BOOKKEEPER-1044,4.4.0,4.5.0,4.5.0,{4.4.0},1,2017-04-25,2017-07-25
BOOKKEEPER-1047,4.4.0,4.5.0,4.5.0,{4.4.0},1,2017-05-04,2017-05-15
BOOKKEEPER-1061,4.4.0,4.5.0,4.5.0,{4.4.0},1,2017-05-10,2017-05-15
BOOKKEEPER-1058,4.4.0,4.5.0,4.5.0,{4.4.0},1,2017-05-10,2017-05-15
BOOKKEEPER-1075,4.4.0,4.5.0,4.5.0,{4.4.0},1,2017-05-25,2017-05-25
BOOKKEEPER-1072,4.4.0,4.5.0,4.5.0,{4.4.0},1,2017-05-25,2017-05-25
BOOKKEEPER-1077,4.4.0,4.5.0,4.5.0,{4.4.0},1,2017-05-25,2017-05-26
BOOKKEEPER-1074,4.4.0,4.5.0,4.5.0,{4.4.0},1,2017-05-25,2017-06-01
BOOKKEEPER-1073,4.4.0,4.5.0,4.5.0,{4.4.0},1,2017-05-25,2017-06-01
BOOKKEEPER-1098,4.4.0,4.5.0,4.5.0,{4.4.0},1,2017-06-14,2017-06-28
BOOKKEEPER-1104,4.4.0,4.5.0,4.5.0,{4.4.0},1,2017-07-27,2017-07-28
